****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=5.
Random seed: 43
Point estimation method: Block relaxation algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 94x523
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 0.005	Loglikelihood: -63289	(delta): 7935.65
2 (EM) 	Elapsed: 0.004	Loglikelihood: -62406.7	(delta): 882.317
3 (EM) 	Elapsed: 0.002	Loglikelihood: -61989.7	(delta): 417.015
4 (EM) 	Elapsed: 0.002	Loglikelihood: -61719.5	(delta): 270.224
5 (EM) 	Elapsed: 0.002	Loglikelihood: -61528.8	(delta): 190.706
Initial loglikelihood: -61528.8
Starting main algorithm
1 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -60652.3	(delta): 876.429
2 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -60335.3	(delta): 317.068
3 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60295.2	(delta): 40.0779
4 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -60286.1	(delta): 9.13718
5 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -60276.4	(delta): 9.65247
6 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -60269.5	(delta): 6.89709
7 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60263.6	(delta): 5.93517
8 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60260.7	(delta): 2.84795
9 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60259	(delta): 1.71288
10 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60257.3	(delta): 1.65716
11 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60255.4	(delta): 1.99326
12 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -60253.6	(delta): 1.77033
13 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -60253.1	(delta): 0.458796
14 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -60252.9	(delta): 0.185652
15 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -60252.9	(delta): 0.074299
16 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -60252.8	(delta): 0.093864
17 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -60252.6	(delta): 0.131912
18 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60252.6	(delta): 0.048425
19 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60252.6	(delta): 0.0331176
20 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60252.5	(delta): 0.0311131
21 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -60252.5	(delta): 0.0285823
22 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -60252.4	(delta): 0.102581
23 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -60252.3	(delta): 0.0533219
24 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -60252.3	(delta): 0.0538568
25 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60252.3	(delta): 0.0175475
26 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60252.3	(delta): 0.0101871
27 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -60252.3	(delta): 0.00947293
28 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -60252.2	(delta): 0.0210151
29 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -60252.2	(delta): 0.0154845
30 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -60252.2	(delta): 0.0648458
31 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60252.1	(delta): 0.00724651
32 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -60252	(delta): 0.0999298
33 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -60252	(delta): 0.0334194
34 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -60252	(delta): 0.0190687
35 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -60251.7	(delta): 0.288953
36 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -60251.7	(delta): 0.016156
37 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -60251.6	(delta): 0.0541451
38 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60251.6	(delta): 0.00624069
39 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60251.6	(delta): 0.0063392
40 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60251.6	(delta): 0.00635687
41 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60251.4	(delta): 0.171139
42 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60251.2	(delta): 0.246747
43 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -60251	(delta): 0.213847
44 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -60250.7	(delta): 0.238294
45 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -60250.7	(delta): 0.0261288
46 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -60250.6	(delta): 0.0907198
47 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -60250.5	(delta): 0.157021
48 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -60250.2	(delta): 0.292619
49 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -60250.2	(delta): 0.0249332
50 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -60250.1	(delta): 0.0558235
51 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -60250	(delta): 0.105653
