Population	n_samples	AVG_numreads	AVG_meanreadlength	AVG_meandepth_wcvg	AVG_numpos	AVG_numpos_wcvg	AVG_meandepth	AVG_pctpos_wcvg
Sde-ABul	78	219640	121.171	19.797	5057388	1.27277e+06	5.06287	25.1665
Sde-AGui	35	12347.1	113.925	4.72597	5057388	275423	0.27029	5.44596
Sde-AMar	2	2945.5	112.045	3.51879	5057388	91550.5	0.0636899	1.81024
Sde-AMat	2	9280.5	119.666	3.59418	5057388	242136	0.21403	4.78776
Sde-ATum	41	199413	128.933	24.0443	5057388	1.05631e+06	4.87901	20.8866
Sde-CHam	2	2522	143.139	2.37939	5057388	154648	0.0688308	3.05788
Sde-CJol	64	232535	143.666	10.6141	5057388	2.94439e+06	6.35047	58.2195
Sde-CMat	2	18642	136.624	3.2534	5057388	725996	0.496006	14.3552
Sde-CTum	64	182121	142.927	8.43605	5057388	2.83485e+06	4.94803	56.0537
Sde-CVal	43	49876	139.409	4.27175	5057388	1.39839e+06	1.33955	27.6505
