
Analysis complete for Sde-ABul_011-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Started analysis of Sde-ABul_011-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 75% complete for Sde-AGui_034-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 80% complete for Sde-AGui_034-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 85% complete for Sde-AGui_034-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 90% complete for Sde-AGui_034-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 95% complete for Sde-AGui_034-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Analysis complete for Sde-AGui_035-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Started analysis of Sde-AGui_035-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 5% complete for Sde-AGui_035-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 10% complete for Sde-AGui_035-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 15% complete for Sde-AGui_035-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 20% complete for Sde-AGui_035-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 25% complete for Sde-AGui_035-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 30% complete for Sde-AGui_035-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 35% complete for Sde-AGui_035-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 40% complete for Sde-AGui_035-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 45% complete for Sde-AGui_035-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 50% complete for Sde-AGui_035-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 55% complete for Sde-AGui_035-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 60% complete for Sde-AGui_035-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 65% complete for Sde-AGui_035-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 70% complete for Sde-AGui_035-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 75% complete for Sde-AGui_035-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 80% complete for Sde-AGui_035-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 85% complete for Sde-AGui_035-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 90% complete for Sde-AGui_035-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 95% complete for Sde-AGui_035-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Analysis complete for Sde-AGui_033-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Started analysis of Sde-AGui_033-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 5% complete for Sde-AGui_033-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 10% complete for Sde-AGui_033-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 15% complete for Sde-AGui_033-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 20% complete for Sde-AGui_033-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 25% complete for Sde-AGui_033-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 30% complete for Sde-AGui_033-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 35% complete for Sde-AGui_033-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 40% complete for Sde-AGui_033-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 45% complete for Sde-AGui_033-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 50% complete for Sde-AGui_033-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 55% complete for Sde-AGui_033-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 60% complete for Sde-AGui_033-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 65% complete for Sde-AGui_033-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 70% complete for Sde-AGui_033-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 75% complete for Sde-AGui_033-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 80% complete for Sde-AGui_033-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 85% complete for Sde-AGui_033-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 90% complete for Sde-AGui_033-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 95% complete for Sde-AGui_033-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Analysis complete for Sde-ABul_091-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Started analysis of Sde-ABul_091-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 5% complete for Sde-ABul_091-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 10% complete for Sde-ABul_091-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 15% complete for Sde-ABul_091-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 20% complete for Sde-ABul_091-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 25% complete for Sde-ABul_091-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 30% complete for Sde-ABul_091-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 35% complete for Sde-ABul_091-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 40% complete for Sde-ABul_091-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 45% complete for Sde-ABul_091-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 50% complete for Sde-ABul_091-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 55% complete for Sde-ABul_091-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 60% complete for Sde-ABul_091-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 65% complete for Sde-ABul_091-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 70% complete for Sde-ABul_091-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 75% complete for Sde-ABul_091-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 80% complete for Sde-ABul_091-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 85% complete for Sde-ABul_091-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 90% complete for Sde-ABul_091-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 95% complete for Sde-ABul_091-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Analysis complete for Sde-AGui_033-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Started analysis of Sde-AGui_033-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 5% complete for Sde-AGui_033-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 10% complete for Sde-AGui_033-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 15% complete for Sde-AGui_033-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 20% complete for Sde-AGui_033-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 25% complete for Sde-AGui_033-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 30% complete for Sde-AGui_033-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 35% complete for Sde-AGui_033-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 40% complete for Sde-AGui_033-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 45% complete for Sde-AGui_033-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 50% complete for Sde-AGui_033-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 55% complete for Sde-AGui_033-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 60% complete for Sde-AGui_033-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 65% complete for Sde-AGui_033-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 70% complete for Sde-AGui_033-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 75% complete for Sde-AGui_033-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 80% complete for Sde-AGui_033-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 85% complete for Sde-AGui_033-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 90% complete for Sde-AGui_033-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 95% complete for Sde-AGui_033-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Analysis complete for Sde-ABul_096-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Started analysis of Sde-ABul_096-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 5% complete for Sde-ABul_096-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 10% complete for Sde-ABul_096-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 15% complete for Sde-ABul_096-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 20% complete for Sde-ABul_096-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 25% complete for Sde-ABul_096-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 30% complete for Sde-ABul_096-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 35% complete for Sde-ABul_096-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 40% complete for Sde-ABul_096-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 45% complete for Sde-ABul_096-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 50% complete for Sde-ABul_096-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 55% complete for Sde-ABul_096-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 60% complete for Sde-ABul_096-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 65% complete for Sde-ABul_096-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 70% complete for Sde-ABul_096-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 75% complete for Sde-ABul_096-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 80% complete for Sde-ABul_096-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 85% complete for Sde-ABul_096-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 90% complete for Sde-ABul_096-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 95% complete for Sde-ABul_096-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Analysis complete for Sde-AMat_005-Ex1-cssl2.clmp.fp2_repr.R1.fq.gz
Started analysis of Sde-AMat_005-Ex1-cssl2.clmp.fp2_repr.R1.fq.gz
Approx 5% complete for Sde-AMat_005-Ex1-cssl2.clmp.fp2_repr.R1.fq.gz
Approx 10% complete for Sde-AMat_005-Ex1-cssl2.clmp.fp2_repr.R1.fq.gz
Approx 15% complete for Sde-AMat_005-Ex1-cssl2.clmp.fp2_repr.R1.fq.gz
Approx 20% complete for Sde-AMat_005-Ex1-cssl2.clmp.fp2_repr.R1.fq.gz
Approx 25% complete for Sde-AMat_005-Ex1-cssl2.clmp.fp2_repr.R1.fq.gz
Approx 30% complete for Sde-AMat_005-Ex1-cssl2.clmp.fp2_repr.R1.fq.gz
Approx 35% complete for Sde-AMat_005-Ex1-cssl2.clmp.fp2_repr.R1.fq.gz
Approx 40% complete for Sde-AMat_005-Ex1-cssl2.clmp.fp2_repr.R1.fq.gz
Approx 45% complete for Sde-AMat_005-Ex1-cssl2.clmp.fp2_repr.R1.fq.gz
Approx 50% complete for Sde-AMat_005-Ex1-cssl2.clmp.fp2_repr.R1.fq.gz
Approx 55% complete for Sde-AMat_005-Ex1-cssl2.clmp.fp2_repr.R1.fq.gz
Approx 60% complete for Sde-AMat_005-Ex1-cssl2.clmp.fp2_repr.R1.fq.gz
Approx 65% complete for Sde-AMat_005-Ex1-cssl2.clmp.fp2_repr.R1.fq.gz
Approx 70% complete for Sde-AMat_005-Ex1-cssl2.clmp.fp2_repr.R1.fq.gz
Approx 75% complete for Sde-AMat_005-Ex1-cssl2.clmp.fp2_repr.R1.fq.gz
Approx 80% complete for Sde-AMat_005-Ex1-cssl2.clmp.fp2_repr.R1.fq.gz
Approx 85% complete for Sde-AMat_005-Ex1-cssl2.clmp.fp2_repr.R1.fq.gz
Approx 90% complete for Sde-AMat_005-Ex1-cssl2.clmp.fp2_repr.R1.fq.gz
Approx 95% complete for Sde-AMat_005-Ex1-cssl2.clmp.fp2_repr.R1.fq.gz
Analysis complete for Sde-AMat_005-Ex1-cssl2.clmp.fp2_repr.R2.fq.gz
Started analysis of Sde-AMat_005-Ex1-cssl2.clmp.fp2_repr.R2.fq.gz
Approx 5% complete for Sde-AMat_005-Ex1-cssl2.clmp.fp2_repr.R2.fq.gz
Approx 10% complete for Sde-AMat_005-Ex1-cssl2.clmp.fp2_repr.R2.fq.gz
Approx 15% complete for Sde-AMat_005-Ex1-cssl2.clmp.fp2_repr.R2.fq.gz
Approx 20% complete for Sde-AMat_005-Ex1-cssl2.clmp.fp2_repr.R2.fq.gz
Approx 25% complete for Sde-AMat_005-Ex1-cssl2.clmp.fp2_repr.R2.fq.gz
Approx 30% complete for Sde-AMat_005-Ex1-cssl2.clmp.fp2_repr.R2.fq.gz
Approx 35% complete for Sde-AMat_005-Ex1-cssl2.clmp.fp2_repr.R2.fq.gz
Approx 40% complete for Sde-AMat_005-Ex1-cssl2.clmp.fp2_repr.R2.fq.gz
Approx 45% complete for Sde-AMat_005-Ex1-cssl2.clmp.fp2_repr.R2.fq.gz
Approx 50% complete for Sde-AMat_005-Ex1-cssl2.clmp.fp2_repr.R2.fq.gz
Approx 55% complete for Sde-AMat_005-Ex1-cssl2.clmp.fp2_repr.R2.fq.gz
Approx 60% complete for Sde-AMat_005-Ex1-cssl2.clmp.fp2_repr.R2.fq.gz
Approx 65% complete for Sde-AMat_005-Ex1-cssl2.clmp.fp2_repr.R2.fq.gz
Approx 70% complete for Sde-AMat_005-Ex1-cssl2.clmp.fp2_repr.R2.fq.gz
Approx 75% complete for Sde-AMat_005-Ex1-cssl2.clmp.fp2_repr.R2.fq.gz
Approx 80% complete for Sde-AMat_005-Ex1-cssl2.clmp.fp2_repr.R2.fq.gz
Approx 85% complete for Sde-AMat_005-Ex1-cssl2.clmp.fp2_repr.R2.fq.gz
Approx 90% complete for Sde-AMat_005-Ex1-cssl2.clmp.fp2_repr.R2.fq.gz
Approx 95% complete for Sde-AMat_005-Ex1-cssl2.clmp.fp2_repr.R2.fq.gz
Analysis complete for Sde-ABul_091-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Started analysis of Sde-ABul_091-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 5% complete for Sde-ABul_091-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 10% complete for Sde-ABul_091-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 15% complete for Sde-ABul_091-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 20% complete for Sde-ABul_091-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 25% complete for Sde-ABul_091-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 30% complete for Sde-ABul_091-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 35% complete for Sde-ABul_091-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 40% complete for Sde-ABul_091-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 45% complete for Sde-ABul_091-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 50% complete for Sde-ABul_091-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 55% complete for Sde-ABul_091-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 60% complete for Sde-ABul_091-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 65% complete for Sde-ABul_091-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 70% complete for Sde-ABul_091-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 75% complete for Sde-ABul_091-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 80% complete for Sde-ABul_091-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 85% complete for Sde-ABul_091-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 90% complete for Sde-ABul_091-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 95% complete for Sde-ABul_091-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Analysis complete for Sde-AGui_032-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Started analysis of Sde-AGui_032-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 5% complete for Sde-AGui_032-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 10% complete for Sde-AGui_032-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 15% complete for Sde-AGui_032-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 20% complete for Sde-AGui_032-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 25% complete for Sde-AGui_032-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 30% complete for Sde-AGui_032-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 35% complete for Sde-AGui_032-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 40% complete for Sde-AGui_032-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 45% complete for Sde-AGui_032-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 50% complete for Sde-AGui_032-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 55% complete for Sde-AGui_032-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 60% complete for Sde-AGui_032-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 65% complete for Sde-AGui_032-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 70% complete for Sde-AGui_032-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 75% complete for Sde-AGui_032-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 80% complete for Sde-AGui_032-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 85% complete for Sde-AGui_032-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 90% complete for Sde-AGui_032-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 95% complete for Sde-AGui_032-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Analysis complete for Sde-AGui_032-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Started analysis of Sde-AGui_032-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 5% complete for Sde-AGui_032-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 10% complete for Sde-AGui_032-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 15% complete for Sde-AGui_032-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 20% complete for Sde-AGui_032-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 25% complete for Sde-AGui_032-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 30% complete for Sde-AGui_032-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 35% complete for Sde-AGui_032-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 40% complete for Sde-AGui_032-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 45% complete for Sde-AGui_032-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 50% complete for Sde-AGui_032-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 55% complete for Sde-AGui_032-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 60% complete for Sde-AGui_032-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 65% complete for Sde-AGui_032-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 70% complete for Sde-AGui_032-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 75% complete for Sde-AGui_032-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 80% complete for Sde-AGui_032-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 85% complete for Sde-AGui_032-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 90% complete for Sde-AGui_032-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 95% complete for Sde-AGui_032-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Analysis complete for Sde-ABul_096-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Started analysis of Sde-ABul_096-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 5% complete for Sde-ABul_096-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 10% complete for Sde-ABul_096-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 15% complete for Sde-ABul_096-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 20% complete for Sde-ABul_096-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 25% complete for Sde-ABul_096-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 30% complete for Sde-ABul_096-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 35% complete for Sde-ABul_096-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 40% complete for Sde-ABul_096-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 45% complete for Sde-ABul_096-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 50% complete for Sde-ABul_096-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 55% complete for Sde-ABul_096-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 60% complete for Sde-ABul_096-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 65% complete for Sde-ABul_096-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 70% complete for Sde-ABul_096-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 75% complete for Sde-ABul_096-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 80% complete for Sde-ABul_096-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 85% complete for Sde-ABul_096-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 90% complete for Sde-ABul_096-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 95% complete for Sde-ABul_096-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Analysis complete for Sde-ABul_089-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Started analysis of Sde-ABul_089-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 5% complete for Sde-ABul_089-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 10% complete for Sde-ABul_089-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 15% complete for Sde-ABul_089-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 20% complete for Sde-ABul_089-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 25% complete for Sde-ABul_089-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 30% complete for Sde-ABul_089-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 35% complete for Sde-ABul_089-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 40% complete for Sde-ABul_089-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 45% complete for Sde-ABul_089-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 50% complete for Sde-ABul_089-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 55% complete for Sde-ABul_089-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 60% complete for Sde-ABul_089-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 65% complete for Sde-ABul_089-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 70% complete for Sde-ABul_089-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 75% complete for Sde-ABul_089-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 80% complete for Sde-ABul_089-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 85% complete for Sde-ABul_089-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 90% complete for Sde-ABul_089-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 95% complete for Sde-ABul_089-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Analysis complete for Sde-ABul_089-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Started analysis of Sde-ABul_089-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 5% complete for Sde-ABul_089-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 10% complete for Sde-ABul_089-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 15% complete for Sde-ABul_089-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 20% complete for Sde-ABul_089-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 25% complete for Sde-ABul_089-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 30% complete for Sde-ABul_089-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 35% complete for Sde-ABul_089-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 40% complete for Sde-ABul_089-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 45% complete for Sde-ABul_089-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 50% complete for Sde-ABul_089-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 55% complete for Sde-ABul_089-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 60% complete for Sde-ABul_089-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 65% complete for Sde-ABul_089-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 70% complete for Sde-ABul_089-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 75% complete for Sde-ABul_089-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 80% complete for Sde-ABul_089-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 85% complete for Sde-ABul_089-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 90% complete for Sde-ABul_089-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 95% complete for Sde-ABul_089-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Analysis complete for Sde-ABul_093-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Started analysis of Sde-ABul_093-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 5% complete for Sde-ABul_093-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 10% complete for Sde-ABul_093-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 15% complete for Sde-ABul_093-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 20% complete for Sde-ABul_093-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 25% complete for Sde-ABul_093-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 30% complete for Sde-ABul_093-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 35% complete for Sde-ABul_093-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 40% complete for Sde-ABul_093-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 45% complete for Sde-ABul_093-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 50% complete for Sde-ABul_093-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
